id;wb_1;wb_2;wb_3;wb_4;wb_5;wb_6;wb_7;wb_8;wb_9;wb_10;wb_11;wb_12;wb_13;wb_14;stress_1;stress_2;stress_3;stress_4;stress_5;stress_6;stress_7;soc_1;soc_2;soc_3;soc_4;soc_5;soc_6;soc_7;soc_8;soc_9;soc_10;soc_11;soc_12;soc_13;sonc_1;sonc_2;sonc_3;sonc_4;sonc_5;sonc_6;sonc_7;sonc_8;trust_media;trust_court;trust_police;trust_pm;trust_gov;trust_econ;trust_health;trust_hospital;trust_edu;trust_localgov;trust_relig;support_family;support_community;support_virtual;support_gov;support_work;support_relig;support_friends;gender;age;age_1;soc;sonc;wb;trust;support;mh;edu - dummy;edu;stress
134;4;6;5;5;5;3;2;2;5;6;3;5;6;5;1;0;1;1;1;1;0;5;3;6;7;5;7;5;6;5;6;3;7;5;5;5;2;4;5;6;6;7;2;4;2;1;2;1;3;3;3;4;2;5;3;4;2;2;;4;1;1970;51;5.384615385;5;4.428571429;2.454545455;3.333333333;1.769230769;6;tertiary;5
135;4;5;4;2;6;1;3;2;4;4;6;5;4;3;2;1;1;2;1;1;1;6;4;5;4;6;5;4;4;4;4;5;5;5;2;2;4;3;5;4;3;5;2;4;3;1;2;1;2;5;1;3;;5;;3;1;3;;5;2;1992;29;4.692307692;3.5;3.785714286;2.4;3.4;2.230769231;6;tertiary;9
136;4;5;5;3;3;2;4;2;2;6;6;4;5;4;2;1;1;1;0;1;0;7;7;7;4;7;7;4;3;5;4;5;3;4;2;2;3;3;2;6;3;7;1;3;2;1;1;2;3;4;3;1;1;3;3;3;1;3;1;3;2;1981;40;5.153846154;3.5;3.928571429;2;2.428571429;1.461538462;6;tertiary;6
137;5;5;4;2;2;1;5;2;3;4;4;5;4;3;1;0;1;0;0;1;0;5;4;5;5;5;7;4;6;6;5;5;3;6;5;2;5;6;4;3;5;6;2;3;3;2;2;2;3;4;3;3;;4;;;1;4;;5;2;1989;32;5.076923077;4.5;3.5;2.7;3.5;1.384615385;6;tertiary;3
138;4;4;4;3;4;2;3;2;4;5;5;5;4;4;0;0;1;0;1;0;2;3;2;2;5;4;3;6;2;4;4;3;4;3;1;2;1;2;2;5;3;4;3;4;4;3;3;3;3;5;4;5;2;4;3;1;3;4;3;4;2;1968;53;3.461538462;2.5;3.785714286;3.545454545;3.142857143;1.461538462;5;tertiary;4
139;4;6;5;6;5;4;6;2;5;3;5;6;4;6;2;1;2;3;1;1;0;6;6;6;6;5;5;6;3;3;5;4;7;5;5;6;5;5;5;2;5;7;1;3;5;1;3;;;5;2;4;;5;3;3;2;5;5;5;2;1984;37;5.153846154;5;4.785714286;3;4;2.153846154;6;tertiary;10
140;5;6;5;5;5;3;4;5;5;5;5;5;5;5;1;1;0;0;0;1;0;6;5;5;5;2;4;5;5;5;5;5;5;5;2;1;3;4;3;5;3;6;3;4;4;3;3;;;4;;;2;5;1;1;2;4;1;4;1;1997;24;4.769230769;3.375;4.857142857;3.285714286;2.571428571;1.307692308;4;secondary;3
141;5;6;6;1;1;1;1;1;6;6;6;5;6;5;0;0;0;0;0;0;0;6;7;7;7;7;7;5;7;7;6;6;6;7;2;6;4;6;4;4;5;7;2;;;1;1;1;1;3;1;2;;;;;;;;5;2;1976;45;6.538461538;4.75;4;1.5;5;1;4;secondary;0
142;4;6;3;3;2;2;4;2;4;3;6;5;6;5;1;2;2;1;1;0;3;7;2;5;7;4;6;4;3;2;2;2;7;7;4;2;5;5;5;2;5;6;2;3;3;1;1;1;1;5;2;3;2;5;5;2;1;2;1;4;2;1974;47;4.461538462;4.25;3.928571429;2.181818182;2.857142857;1.846153846;6;tertiary;10
143;4;5;5;4;5;4;4;4;4;4;4;5;5;4;2;1;1;2;1;1;1;5;5;5;4;5;3;2;3;3;3;3;3;4;5;4;5;3;4;3;3;4;4;4;3;2;4;3;4;5;4;4;3;4;4;3;3;3;3;5;2;1996;25;3.692307692;3.875;4.357142857;3.636363636;3.571428571;2;5;tertiary;9
144;5;6;6;6;3;3;6;3;3;5;6;5;3;5;0;0;0;0;0;0;0;7;5;6;4;7;5;6;6;7;4;4;7;4;4;7;7;7;7;4;4;6;1;4;3;1;1;1;1;5;1;5;1;5;4;1;1;;;5;2;1972;49;5.538461538;5.75;4.642857143;2.181818182;3.2;1.153846154;4;secondary;0
145;2;2;2;2;4;2;2;3;2;3;3;2;1;1;3;2;2;1;0;1;1;3;3;4;3;3;3;5;4;2;1;5;3;4;2;5;2;4;4;3;4;5;3;;;1;2;1;2;4;3;;;5;;;2;1;;4;2;1990;31;3.307692308;3.625;2.214285714;2.285714286;3;2.153846154;4;secondary;10
146;5;6;5;4;5;3;3;2;4;4;5;5;4;5;1;1;1;0;1;1;0;6;2;3;6;5;5;6;3;2;2;3;6;5;3;5;2;3;5;3;3;5;2;4;3;2;4;3;3;4;3;2;1;4;3;1;3;3;1;5;2;1997;24;4.153846154;3.625;4.285714286;2.818181818;2.857142857;1.692307692;5;tertiary;5
147;6;6;6;3;5;5;6;3;6;6;6;6;6;6;1;1;1;1;1;1;0;6;7;4;6;6;7;5;4;2;6;5;7;7;4;7;4;7;5;3;5;5;2;5;5;1;2;2;2;;2;;4;;;3;2;;;;2;1992;29;5.538461538;5;5.428571429;2.777777778;2.5;1.538461538;6;tertiary;6
148;5;5;5;3;2;2;3;2;3;6;4;4;4;4;1;0;1;1;0;1;0;5;5;4;5;7;6;4;5;6;5;5;6;6;3;3;2;3;3;2;2;2;3;;;3;3;2;3;5;3;;;3;1;3;3;;;4;2;1995;26;5.307692308;2.5;3.714285714;3.142857143;2.8;1.461538462;5;tertiary;4
149;6;6;6;6;6;3;4;2;5;6;6;6;5;6;2;1;1;1;0;1;0;7;3;6;7;6;5;6;6;4;6;5;6;7;1;1;3;2;2;3;3;2;2;3;1;1;2;2;2;5;2;1;2;5;4;;1;2;2;5;2;1965;56;5.692307692;2.125;5.214285714;2.090909091;3.166666667;1.461538462;5;tertiary;6
150;5;6;6;6;6;5;6;6;6;6;5;6;5;6;1;1;1;0;0;1;1;7;5;5;6;6;6;5;6;5;4;5;6;5;3;6;5;3;4;6;4;4;3;3;3;1;1;2;3;5;3;4;4;5;5;3;4;5;5;5;2;1976;45;5.461538462;4.375;5.714285714;2.909090909;4.571428571;1.769230769;6;tertiary;5
151;5;5;5;1;6;5;5;5;5;5;6;5;5;5;1;2;0;0;0;1;0;6;5;7;7;5;7;4;7;5;5;6;7;6;2;4;4;2;3;3;4;7;3;2;2;1;1;1;1;5;1;2;;5;3;2;1;;;4;1;1945;76;5.923076923;3.625;4.857142857;1.9;3;1.307692308;6;tertiary;4
152;5;6;5;5;4;5;5;4;5;5;5;6;5;5;1;1;1;0;1;0;0;5;4;4;6;6;7;6;6;6;5;5;6;6;4;5;5;5;4;3;4;7;3;3;3;2;2;3;3;4;3;3;;4;2;2;2;4;3;3;2;1957;64;5.538461538;4.625;5;2.9;2.857142857;1.615384615;7;tertiary;4
153;5;6;5;3;5;2;3;1;4;5;5;4;3;5;3;3;3;3;2;1;0;7;5;5;7;3;4;6;6;1;4;2;7;5;4;2;4;6;4;3;4;3;2;3;4;3;2;1;4;5;1;2;1;5;3;2;2;4;1;5;2;2000;21;4.769230769;3.75;4;2.545454545;3.142857143;2.692307692;4;secondary;15
154;4;4;4;2;5;2;5;2;4;3;5;2;4;5;1;1;1;3;2;1;0;6;5;6;6;4;5;4;5;5;5;5;5;5;2;5;2;2;5;5;5;4;3;3;4;1;1;1;2;5;2;4;3;5;4;1;1;3;4;5;2;1951;70;5.076923077;3.75;3.642857143;2.636363636;3.285714286;1.769230769;7;tertiary;9
155;6;6;6;6;6;6;6;6;6;6;6;6;6;6;1;1;1;1;0;1;0;6;7;7;6;7;5;6;7;6;6;5;6;6;4;5;5;6;5;2;5;6;4;;5;5;5;5;5;5;5;4;;5;4;;4;;;5;1;1941;80;6.153846154;4.75;6;4.777777778;4.5;1.538461538;7;tertiary;5
156;1;3;1;2;2;2;2;2;2;5;4;2;3;2;3;3;2;2;1;1;1;6;5;3;3;3;6;3;3;2;2;6;2;6;2;1;3;1;2;6;2;3;4;4;4;1;1;1;2;4;3;4;3;3;3;4;2;2;;3;1;1974;47;3.846153846;2.5;2.357142857;2.818181818;2.833333333;2.769230769;6;tertiary;13
157;3;6;4;3;2;3;4;4;4;5;5;4;6;6;3;2;3;3;1;3;3;7;1;3;5;5;4;7;4;3;3;6;6;5;6;5;3;3;5;1;3;6;2;4;4;2;2;2;3;5;3;3;3;3;2;4;4;5;;3;2;1995;26;4.538461538;4;4.214285714;3;3.5;3;5;tertiary;18
158;6;6;5;1;4;5;5;3;5;5;5;5;4;6;1;0;1;3;0;1;0;6;3;4;4;5;3;4;4;4;4;3;3;5;3;5;2;2;3;5;2;2;2;4;3;1;2;2;2;4;3;3;2;5;4;3;3;3;1;3;2;1989;32;4;3;4.642857143;2.545454545;3.142857143;1.615384615;6;tertiary;6
159;1;1;1;1;2;1;2;1;2;6;6;2;1;1;2;0;2;1;1;1;1;1;1;1;6;1;1;4;1;1;1;6;1;2;5;1;5;7;5;2;4;6;4;;;1;1;1;1;5;3;;1;1;;1;1;3;1;2;1;1968;53;2.076923077;4.375;2;2.125;1.5;2.769230769;3;primary;8
160;5;5;5;4;4;2;5;3;4;5;4;4;3;4;1;1;1;1;0;1;0;6;5;6;4;6;5;5;6;4;4;4;4;6;1;1;2;2;2;2;3;5;3;4;4;1;1;1;3;5;2;3;2;3;3;1;1;4;4;3;2;1975;46;5;2.25;4.071428571;2.636363636;2.714285714;1.692307692;7;tertiary;5
161;5;5;5;4;4;2;4;4;5;5;5;5;5;5;1;1;1;1;0;0;0;5;6;6;5;6;5;5;5;5;5;5;6;5;3;2;4;4;4;3;3;4;3;2;4;2;3;3;3;5;4;4;3;5;4;3;3;4;;5;2;1959;62;5.307692308;3.375;4.5;3.272727273;4;1.615384615;6;tertiary;4
162;5;5;5;2;6;6;6;2;5;4;6;6;3;6;3;0;2;0;0;1;0;7;6;7;5;6;6;6;5;4;4;6;6;6;3;4;5;6;6;1;5;5;2;;;1;1;1;1;4;1;;;4;;4;;;;5;2;1981;40;5.692307692;4.375;4.785714286;1.571428571;4.333333333;1.846153846;7;tertiary;6
163;5;4;4;4;4;4;6;3;5;3;5;4;5;5;1;1;1;1;0;0;0;6;6;5;5;7;6;5;5;5;4;5;6;7;3;2;4;3;3;3;3;6;5;5;5;2;2;2;3;4;2;4;1;4;2;2;2;2;2;5;1;1997;24;5.538461538;3.375;4.357142857;3.181818182;2.714285714;1.461538462;4;secondary;4
164;6;6;6;2;5;1;6;2;6;6;6;5;6;6;1;1;0;2;0;0;0;7;6;7;7;6;4;6;5;5;5;3;7;3;2;5;1;3;3;4;4;6;1;3;4;2;2;2;2;5;3;3;5;5;1;3;2;4;5;5;2;1999;22;5.461538462;3.5;4.928571429;2.909090909;3.571428571;1.307692308;4;secondary;4
165;5;5;4;4;3;4;5;4;4;6;6;5;5;5;1;0;1;1;0;1;0;5;4;6;4;6;4;4;5;4;5;4;5;5;3;5;3;4;5;6;4;6;3;4;4;2;2;2;2;3;2;2;2;4;4;2;2;4;2;4;2;1979;42;4.692307692;4.5;4.642857143;2.545454545;3.142857143;1.461538462;5;tertiary;4
166;3;3;2;2;1;1;3;1;4;4;4;2;5;3;2;0;1;0;0;1;0;7;2;2;5;3;5;4;3;4;6;4;3;6;1;6;1;4;6;4;3;4;1;1;2;1;1;1;1;4;1;;;5;3;;;2;;3;2;1987;34;4.153846154;3.625;2.714285714;1.444444444;3.25;1.307692308;5;tertiary;4
167;6;6;6;6;6;2;5;4;6;6;6;6;5;6;1;0;0;0;0;1;0;3;6;4;7;6;6;5;4;6;1;2;7;7;4;1;1;7;4;1;4;7;3;;2;1;1;1;2;4;1;3;4;4;4;3;1;4;5;4;2;1991;30;4.923076923;3.625;5.428571429;2.2;3.571428571;1.307692308;6;tertiary;2
168;5;6;2;2;1;1;1;2;3;5;2;3;1;2;1;1;0;0;0;1;0;7;5;6;4;7;4;4;7;2;5;5;6;3;2;1;4;5;1;5;5;5;4;1;1;2;2;1;3;5;1;3;1;5;2;3;1;4;;3;2;1991;30;5;3.5;2.571428571;2.181818182;3;1.384615385;5;tertiary;3
169;4;4;4;2;3;2;2;1;3;4;4;3;2;2;1;2;2;2;2;3;3;7;1;4;5;4;2;6;3;1;5;5;4;3;3;3;1;4;6;6;1;1;1;1;1;1;1;1;1;2;1;1;1;4;1;4;1;3;1;3;2;1993;28;3.846153846;3.125;2.857142857;1.090909091;2.428571429;3.076923077;6;tertiary;15
170;4;6;5;6;6;1;3;1;6;6;6;6;6;6;1;0;0;1;0;0;0;7;6;6;7;7;7;7;7;7;6;6;7;7;3;1;4;4;4;3;4;6;4;5;5;1;1;1;2;4;1;3;4;5;5;;1;5;5;5;2;1992;29;6.692307692;3.625;4.857142857;2.818181818;4.333333333;1.230769231;6;tertiary;2
171;4;4;4;2;2;3;3;2;3;4;4;4;3;3;2;2;1;1;1;3;2;3;3;3;5;5;5;3;3;2;5;6;3;4;1;3;2;2;1;5;1;6;1;3;5;5;5;5;5;5;3;3;1;3;2;1;4;;;4;1;1997;24;3.846153846;2.625;3.214285714;3.727272727;2.8;2.384615385;5;tertiary;12
172;5;6;5;4;3;1;3;1;5;5;4;6;6;6;1;1;1;0;0;1;1;4;2;4;7;5;5;7;6;4;4;4;5;6;2;1;1;1;1;4;1;1;3;3;4;1;1;1;1;1;1;1;3;5;1;5;1;1;5;5;2;1974;47;4.846153846;1.5;4.285714286;1.818181818;3.285714286;1.461538462;6;tertiary;5
173;1;1;5;5;6;2;2;2;5;4;3;5;5;5;1;0;0;0;0;0;0;6;2;3;7;6;6;1;6;6;3;4;7;6;5;4;3;3;5;4;3;7;2;2;2;1;1;1;1;5;1;1;1;5;3;3;3;5;1;4;1;1983;38;4.846153846;4.25;3.642857143;1.636363636;3.428571429;1.230769231;7;tertiary;1
174;5;6;4;5;1;2;4;2;5;5;5;5;4;4;1;1;1;1;1;1;1;1;2;3;4;3;6;7;6;4;3;2;6;6;1;4;4;4;4;4;4;6;3;4;5;4;4;4;4;5;4;5;5;4;4;4;4;1;4;4;2;1987;34;4.076923077;3.875;4.071428571;4.272727273;3.571428571;1.769230769;5;tertiary;7
175;4;6;5;2;6;4;5;2;5;5;6;6;6;4;1;0;1;1;1;1;0;6;4;4;6;2;3;5;3;2;6;2;4;6;3;5;4;5;5;4;4;6;2;3;4;1;1;1;2;5;2;3;1;3;1;3;1;3;1;5;2;1994;27;4.076923077;4.5;4.714285714;2.272727273;2.428571429;1.461538462;6;tertiary;5
176;3;4;2;3;2;2;3;3;3;4;4;4;4;2;3;3;3;3;2;2;2;6;5;5;4;3;3;3;2;1;3;3;3;5;1;2;3;5;4;3;3;3;2;2;2;1;2;2;3;4;2;3;1;3;2;3;1;3;;3;2;1993;28;3.538461538;3;3.071428571;2.181818182;2.5;3.153846154;6;tertiary;18
177;5;5;5;5;6;2;5;1;6;5;6;6;6;6;3;3;1;3;3;1;1;7;1;4;5;4;3;5;5;4;5;3;5;6;3;5;1;2;5;1;1;4;3;3;2;1;3;3;2;5;4;2;;5;4;2;1;5;;5;2;1996;25;4.384615385;2.75;4.928571429;2.8;3.666666667;2.615384615;4;secondary;15
178;5;6;6;2;1;1;3;3;5;2;6;5;3;3;0;0;0;1;0;2;0;7;6;7;2;6;7;4;7;7;6;5;2;7;2;1;1;1;4;3;3;5;4;;4;1;1;1;3;4;2;1;1;5;3;5;2;4;1;4;1;1988;33;5.615384615;2.5;3.642857143;2.2;3.428571429;1.538461538;4;secondary;3
179;5;6;6;5;3;4;5;4;4;4;4;4;3;6;1;0;1;1;0;0;0;6;5;6;5;7;5;6;6;5;5;5;6;6;3;6;5;3;5;5;5;6;3;4;4;3;4;4;3;5;4;3;5;5;4;2;3;4;4;4;1;1963;58;5.615384615;4.75;4.5;3.818181818;3.714285714;1.384615385;6;tertiary;3
180;5;6;4;5;5;3;3;2;5;5;6;6;5;6;2;0;1;1;1;1;1;6;4;5;5;6;4;4;3;4;4;4;5;5;2;4;2;3;3;5;2;7;4;4;4;3;3;2;3;5;4;5;3;5;3;4;3;3;;4;2;1987;34;4.538461538;3.5;4.714285714;3.636363636;3.666666667;1.923076923;6;tertiary;7
181;3;6;6;4;2;3;3;2;4;6;4;3;2;4;1;1;1;1;0;1;0;5;3;4;6;7;3;6;5;5;4;6;7;4;5;2;1;1;2;3;1;1;3;4;3;1;1;1;1;4;3;1;1;4;4;3;1;2;1;3;2;1998;23;5;2;3.714285714;2.090909091;2.571428571;1.692307692;5;tertiary;5
182;5;6;5;2;1;1;1;1;5;6;6;4;5;5;0;0;1;1;0;1;1;3;3;4;6;3;6;6;5;3;6;6;6;7;1;1;3;3;4;4;4;4;1;3;1;1;1;1;1;4;1;1;1;4;1;2;2;5;1;3;1;1986;35;4.923076923;3;3.785714286;1.454545455;2.571428571;1.538461538;3;primary;4
183;5;5;5;5;5;4;5;2;5;5;5;6;5;5;1;1;1;1;0;1;0;6;6;6;6;6;6;6;6;6;5;5;6;6;3;2;2;6;5;3;4;7;3;3;3;2;3;3;3;4;2;2;2;5;4;4;3;4;4;5;2;1971;50;5.846153846;4;4.785714286;2.727272727;4.142857143;1.538461538;6;tertiary;5
184;3;5;2;5;1;1;3;2;4;4;5;5;3;3;2;1;1;2;1;2;1;7;4;5;6;4;6;4;6;6;5;5;6;6;2;1;1;2;2;6;2;2;2;2;3;1;1;1;2;5;1;3;3;5;1;3;1;2;1;3;2;1971;50;5.384615385;2.25;3.285714286;2.181818182;2.285714286;2.153846154;6;tertiary;10
185;4;6;4;5;6;3;5;4;4;6;5;6;5;6;1;1;1;2;1;0;0;6;7;7;7;7;7;7;6;6;6;6;7;6;1;1;4;6;3;2;3;7;2;3;4;1;2;2;3;4;5;4;1;5;4;5;2;3;1;4;2;1990;31;6.538461538;3.375;4.928571429;2.818181818;3.428571429;1.461538462;6;tertiary;6
186;5;6;5;3;3;4;3;2;5;5;6;4;6;6;1;1;0;1;0;1;0;6;6;5;6;2;6;6;7;6;6;6;7;6;2;4;4;3;4;5;4;5;1;4;3;2;2;2;4;5;3;;1;5;1;3;1;5;1;4;2;1990;31;5.769230769;3.875;4.5;2.7;2.857142857;1.538461538;6;tertiary;4
187;5;4;6;1;3;1;3;2;5;4;6;4;5;6;1;0;1;2;0;1;0;6;4;3;6;6;6;5;5;5;4;5;5;5;1;3;2;6;5;5;3;6;1;3;3;3;4;3;4;5;3;2;2;5;5;;3;;;3;2;1985;36;5;3.875;3.928571429;3;4;1.538461538;6;tertiary;5
188;2;3;4;5;3;2;2;2;3;4;5;5;5;5;3;2;3;2;1;2;1;6;5;4;7;5;3;5;5;3;3;6;5;6;2;5;3;3;3;3;4;5;1;4;3;1;2;1;2;4;2;4;4;3;3;3;1;4;3;4;2;1992;29;4.846153846;3.5;3.571428571;2.545454545;3;2.461538462;6;tertiary;14
189;5;6;5;4;3;2;2;2;3;4;4;5;3;6;2;1;2;1;1;2;1;3;3;5;5;6;3;4;3;3;3;5;5;6;3;5;3;4;3;3;2;6;2;;3;1;2;;;5;;4;;5;4;3;1;;;4;2;1993;28;4.153846154;3.625;3.857142857;2.833333333;3.4;2.153846154;6;tertiary;10
190;6;6;6;6;6;3;4;2;3;5;6;5;3;6;1;1;1;1;0;1;0;6;4;6;7;7;6;6;6;4;5;6;6;6;2;2;4;4;5;4;4;7;2;2;3;1;2;2;3;5;2;3;3;5;5;3;3;5;;5;2;1990;31;5.769230769;4;4.785714286;2.545454545;4.333333333;1.692307692;7;tertiary;5
191;5;6;4;4;6;4;5;3;4;3;6;6;4;4;2;1;2;1;0;2;1;7;5;5;6;5;1;6;4;2;2;2;6;3;2;1;1;5;4;4;2;2;3;3;4;1;1;1;1;5;1;3;1;5;1;4;1;3;1;5;2;1996;25;4.153846154;2.625;4.571428571;2.181818182;2.857142857;2.076923077;5;tertiary;9
192;5;5;5;5;3;2;2;2;3;4;4;4;5;5;2;1;1;1;1;1;1;5;3;3;6;7;6;3;4;4;2;5;6;6;7;3;5;3;4;3;4;5;3;;;1;2;2;2;5;2;2;;5;4;4;1;4;4;5;2;1993;28;4.615384615;4.25;3.857142857;2.375;3.857142857;2.307692308;6;tertiary;8
193;4;6;5;5;6;4;5;4;5;5;6;6;6;6;1;1;1;1;3;2;0;7;6;7;6;5;7;6;3;5;4;6;4;5;1;4;3;2;3;4;3;5;3;4;3;2;3;1;3;5;1;;;5;1;5;1;2;;5;2;1996;25;5.461538462;3.125;5.214285714;2.777777778;3.166666667;1.923076923;4;secondary;9
194;3;3;5;4;3;4;3;3;4;5;4;5;4;6;1;1;0;1;0;1;0;7;7;6;6;7;6;6;6;3;6;2;7;6;3;4;3;5;5;5;4;6;2;2;3;1;2;3;4;4;3;2;;5;3;4;3;4;;5;2;1988;33;5.769230769;4.375;4;2.6;4;1.384615385;6;tertiary;4
195;5;5;4;2;6;4;6;3;2;5;6;2;2;4;2;0;2;2;1;1;0;7;6;7;6;6;5;4;6;5;4;5;5;6;4;4;5;7;5;6;6;4;2;2;4;2;3;2;3;5;3;4;1;5;1;1;2;4;1;5;2;1956;65;5.538461538;5.125;4;2.818181818;2.714285714;2.076923077;7;tertiary;8
196;6;6;5;3;6;4;6;3;5;2;6;6;5;5;1;0;1;2;0;1;0;7;6;7;7;7;6;2;4;4;3;5;5;5;3;1;4;7;3;2;4;4;3;3;4;1;2;1;2;4;4;4;4;5;4;5;1;5;4;5;2;1980;41;5.230769231;3.5;4.857142857;2.909090909;4.142857143;1.538461538;6;tertiary;5
197;2;3;3;5;4;2;3;4;5;5;4;5;6;5;3;2;1;1;1;1;1;4;3;2;5;6;7;4;6;2;5;3;4;3;2;5;5;4;4;5;3;5;2;3;2;2;2;2;2;4;2;1;1;5;1;3;2;5;1;5;2;1989;32;4.153846154;4.125;4;2.090909091;3.142857143;2.230769231;5;tertiary;10
198;4;5;4;5;4;3;3;1;4;2;2;3;5;4;2;0;1;1;1;1;0;6;4;4;7;5;6;2;6;6;6;4;7;6;2;5;4;7;5;7;3;6;3;4;5;4;4;;;4;;2;5;3;3;4;3;4;4;5;2;1991;30;5.307692308;4.875;3.5;3.875;3.714285714;2;6;tertiary;6
199;6;5;6;3;6;6;6;5;5;5;6;4;5;6;1;1;1;1;1;1;1;6;6;6;6;5;6;6;6;7;5;6;6;6;2;4;3;3;4;4;4;6;;;5;1;2;1;2;5;2;4;1;5;5;5;;5;;5;2;1992;29;5.923076923;3.75;5.285714286;2.555555556;5;1.692307692;6;tertiary;7
200;4;3;2;1;2;2;5;3;5;5;3;3;2;1;3;3;3;2;1;1;3;6;3;2;6;3;2;3;1;1;3;5;4;5;2;3;5;6;5;4;2;6;2;3;3;1;2;1;2;5;3;3;3;5;3;;1;;;4;2;1986;35;3.384615385;4.125;2.928571429;2.545454545;3.25;2.692307692;6;tertiary;16
201;4;6;5;2;4;3;4;4;1;2;2;3;4;4;1;1;2;1;1;1;1;2;3;5;5;7;6;6;3;3;5;3;6;7;3;1;3;3;4;2;2;1;4;5;4;3;3;3;4;5;3;3;1;4;1;5;2;5;1;3;1;1997;24;4.692307692;2.375;3.428571429;3.454545455;3;1.692307692;4;secondary;8
